model,family,regime,sign_pattern,theta_start_deg,theta_end_deg,direction_count,named_labels,wraps_360
baseline,brownian_innovation_short_window,optimal_inherited_position,Y+ W+ B- F+ J+ pay- X+ c+ T- G+ nu+,330.0,330.0,1,,False
baseline,brownian_innovation_short_window,optimal_inherited_position,Y+ W+ B0 F+ J+ pay0 X+ c+ T- G+ nu0,331.8049220639845,331.8049220639845,1,claim_payoff_neutral_automation_negative|rental_tax_base_neutral_automation_negative,False
baseline,brownian_innovation_short_window,optimal_inherited_position,Y+ W+ B+ F+ J+ pay+ X+ c+ T- G+ nu-,335.0,355.0,5,,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y+ W+ B+ F+ J+ pay0 X+ c+ T+ G+ nu-,0.0,0.0,1,pure_productivity_positive,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y+ W+ B+ F+ J+ pay0 X+ c+ T+ G- nu-,5.0,75.0,15,,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y+ W0 B+ F+ J+ pay0 X+ c+ T+ G- nu-,77.39997951365545,77.39997951365545,1,worker_income_neutral_automation_positive,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y+ W- B+ F+ J+ pay0 X+ c+ T+ G- nu-,80.0,100.0,5,pure_automation_positive,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y+ W- B+ F0 J+ pay0 X+ c+ T+ G- nu-,101.54778070317035,101.54778070317035,1,primary_resource_neutral_automation_positive,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y+ W- B+ F- J+ pay0 X+ c+ T+ G- nu-,105.0,115.0,3,,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y0 W- B+ F- J+ pay0 X+ c+ T+ G- nu-,115.95220609217762,115.95220609217762,1,output_neutral_automation_positive,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y- W- B+ F- J+ pay0 X+ c+ T+ G- nu-,120.0,145.0,6,,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y- W- B+ F- J- pay0 X- c- T+ G- nu-,150.0,150.0,1,,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y- W- B0 F- J- pay0 X- c- T+ G- nu0,151.80492206398452,151.80492206398452,1,claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y- W- B- F- J- pay0 X- c- T+ G- nu+,155.0,175.0,5,,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y- W- B- F- J- pay0 X- c- T- G- nu+,180.0,180.0,1,pure_productivity_negative,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y- W- B- F- J- pay0 X- c- T- G+ nu+,185.0,255.0,15,,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y- W0 B- F- J- pay0 X- c- T- G+ nu+,257.39997951365547,257.39997951365547,1,worker_income_neutral_automation_negative,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y- W+ B- F- J- pay0 X- c- T- G+ nu+,260.0,280.0,5,pure_automation_negative,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y- W+ B- F0 J- pay0 X- c- T- G+ nu+,281.54778070317036,281.54778070317036,1,primary_resource_neutral_automation_negative,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y- W+ B- F+ J- pay0 X- c- T- G+ nu+,285.0,295.0,3,,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y0 W+ B- F+ J- pay0 X- c- T- G+ nu+,295.9522060921776,295.9522060921776,1,output_neutral_automation_negative,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y+ W+ B- F+ J- pay0 X- c- T- G+ nu+,300.0,325.0,6,,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y+ W+ B- F+ J+ pay0 X+ c+ T- G+ nu+,330.0,330.0,1,,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y+ W+ B0 F+ J+ pay0 X+ c+ T- G+ nu0,331.8049220639845,331.8049220639845,1,claim_payoff_neutral_automation_negative|rental_tax_base_neutral_automation_negative,False
baseline,brownian_innovation_short_window,zero_inherited_position,Y+ W+ B+ F+ J+ pay0 X+ c+ T- G+ nu-,335.0,355.0,5,,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y+ W+ B+ F+ J+ pay0 X+ c+ T+ G+ nu-,0.0,0.0,1,pure_productivity_positive,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y+ W+ B+ F+ J+ pay0 X+ c+ T+ G- nu-,5.0,75.0,15,,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y+ W0 B+ F+ J+ pay0 X+ c+ T+ G- nu-,77.39997951365545,77.39997951365545,1,worker_income_neutral_automation_positive,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y+ W- B+ F+ J+ pay0 X+ c+ T+ G- nu-,80.0,100.0,5,pure_automation_positive,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y+ W- B+ F0 J+ pay0 X+ c+ T+ G- nu-,101.54778070317035,101.54778070317035,1,primary_resource_neutral_automation_positive,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y+ W- B+ F- J+ pay0 X+ c+ T+ G- nu-,105.0,115.0,3,,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y0 W- B+ F- J+ pay0 X+ c+ T+ G- nu-,115.95220609217762,115.95220609217762,1,output_neutral_automation_positive,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y- W- B+ F- J+ pay0 X+ c+ T+ G- nu-,120.0,145.0,6,,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y- W- B+ F- J- pay0 X- c- T+ G- nu-,150.0,150.0,1,,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y- W- B0 F- J- pay0 X- c- T+ G- nu0,151.80492206398452,151.80492206398452,1,claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y- W- B- F- J- pay0 X- c- T+ G- nu+,155.0,175.0,5,,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y- W- B- F- J- pay0 X- c- T- G- nu+,180.0,180.0,1,pure_productivity_negative,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y- W- B- F- J- pay0 X- c- T- G+ nu+,185.0,255.0,15,,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y- W0 B- F- J- pay0 X- c- T- G+ nu+,257.39997951365547,257.39997951365547,1,worker_income_neutral_automation_negative,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y- W+ B- F- J- pay0 X- c- T- G+ nu+,260.0,280.0,5,pure_automation_negative,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y- W+ B- F0 J- pay0 X- c- T- G+ nu+,281.54778070317036,281.54778070317036,1,primary_resource_neutral_automation_negative,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y- W+ B- F+ J- pay0 X- c- T- G+ nu+,285.0,295.0,3,,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y0 W+ B- F+ J- pay0 X- c- T- G+ nu+,295.9522060921776,295.9522060921776,1,output_neutral_automation_negative,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y+ W+ B- F+ J- pay0 X- c- T- G+ nu+,300.0,325.0,6,,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y+ W+ B- F+ J+ pay0 X+ c+ T- G+ nu+,330.0,330.0,1,,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y+ W+ B0 F+ J+ pay0 X+ c+ T- G+ nu0,331.8049220639845,331.8049220639845,1,claim_payoff_neutral_automation_negative|rental_tax_base_neutral_automation_negative,False
baseline,matched_deterministic_state_displacement,no_inherited_payoff,Y+ W+ B+ F+ J+ pay0 X+ c+ T- G+ nu-,335.0,355.0,5,,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y+ W+ B+ F+ J+ pay0 X+ c+ T+ G+ nu-,0.0,0.0,1,pure_productivity_positive,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y+ W+ B+ F+ J+ pay0 X+ c+ T+ G- nu-,5.0,75.0,15,,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y+ W0 B+ F+ J+ pay0 X+ c+ T+ G- nu-,77.39997951365545,77.39997951365545,1,worker_income_neutral_automation_positive,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y+ W- B+ F+ J+ pay0 X+ c+ T+ G- nu-,80.0,100.0,5,pure_automation_positive,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y+ W- B+ F0 J+ pay0 X+ c+ T+ G- nu-,101.54778070317035,101.54778070317035,1,primary_resource_neutral_automation_positive,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y+ W- B+ F- J+ pay0 X+ c+ T+ G- nu-,105.0,115.0,3,,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y0 W- B+ F- J+ pay0 X+ c+ T+ G- nu-,115.95220609217762,115.95220609217762,1,output_neutral_automation_positive,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y- W- B+ F- J+ pay0 X+ c+ T+ G- nu-,120.0,145.0,6,,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y- W- B+ F- J- pay0 X- c- T+ G- nu-,150.0,150.0,1,,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y- W- B0 F- J- pay0 X- c- T+ G- nu0,151.80492206398452,151.80492206398452,1,claim_payoff_neutral_automation_positive|rental_tax_base_neutral_automation_positive,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y- W- B- F- J- pay0 X- c- T+ G- nu+,155.0,175.0,5,,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y- W- B- F- J- pay0 X- c- T- G- nu+,180.0,180.0,1,pure_productivity_negative,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y- W- B- F- J- pay0 X- c- T- G+ nu+,185.0,255.0,15,,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y- W0 B- F- J- pay0 X- c- T- G+ nu+,257.39997951365547,257.39997951365547,1,worker_income_neutral_automation_negative,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y- W+ B- F- J- pay0 X- c- T- G+ nu+,260.0,280.0,5,pure_automation_negative,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y- W+ B- F0 J- pay0 X- c- T- G+ nu+,281.54778070317036,281.54778070317036,1,primary_resource_neutral_automation_negative,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y- W+ B- F+ J- pay0 X- c- T- G+ nu+,285.0,295.0,3,,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y0 W+ B- F+ J- pay0 X- c- T- G+ nu+,295.9522060921776,295.9522060921776,1,output_neutral_automation_negative,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y+ W+ B- F+ J- pay0 X- c- T- G+ nu+,300.0,325.0,6,,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y+ W+ B- F+ J+ pay0 X+ c+ T- G+ nu+,330.0,330.0,1,,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y+ W+ B0 F+ J+ pay0 X+ c+ T- G+ nu0,331.8049220639845,331.8049220639845,1,claim_payoff_neutral_automation_negative|rental_tax_base_neutral_automation_negative,False
baseline,finite_window_ou_state_displacement,no_inherited_payoff,Y+ W+ B+ F+ J+ pay0 X+ c+ T- G+ nu-,335.0,355.0,5,,False
